,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,Type,Sedans_1,japan,usa,chevrolet,nissan,peugeot,saab,toyota,volkswagen,volvo,Medium_HP,High_HP
0,18.0,8.0,307.0,130.0,3504.0,12.0,70.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
1,14.0,8.0,134.0,90.0,4354.0,15.8,70.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
2,15.0,8.0,400.0,150.0,3761.0,15.8,70.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
3,24.0,4.0,113.0,95.0,2372.0,15.0,70.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,1,0
4,26.0,4.0,12.0,46.0,1835.0,20.5,70.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,0
5,25.0,4.0,110.0,87.0,2672.0,15.8,70.0,europe,peugeot,Sedan,1,0,0,0,0,1,0,0,0,0,1,0
6,24.0,4.0,107.0,90.0,2430.0,14.5,70.0,europe,audi,Coupe,0,0,0,0,0,0,0,0,0,0,1,0
7,25.0,4.0,104.0,95.0,2375.0,17.5,70.0,europe,saab,Coupe,0,0,0,0,0,0,1,0,0,0,1,0
8,28.0,4.0,140.0,90.0,2264.0,15.5,71.0,usa,chevrolet,Coupe,0,0,1,1,0,0,0,0,0,0,1,0
9,25.0,4.0,113.0,95.0,2686.0,14.0,71.0,japan,toyota,Sedan,1,1,0,0,0,0,0,1,0,0,1,0
10,17.0,6.0,250.0,100.0,3329.0,15.5,71.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
11,14.0,8.0,350.0,165.0,4209.0,12.0,71.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
12,22.0,4.0,134.0,72.0,2408.0,19.0,71.0,usa,chevrolet,Coupe,0,0,1,1,0,0,0,0,0,0,0,0
13,30.0,4.0,134.0,70.0,2074.0,19.5,71.0,europe,peugeot,Coupe,0,0,0,0,0,1,0,0,0,0,0,0
14,27.0,4.0,134.0,60.0,1834.0,19.0,71.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,0
15,24.0,4.0,113.0,95.0,2278.0,15.5,72.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,1,0
16,23.0,4.0,97.0,90.0,2254.0,15.8,72.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,1
17,20.0,4.0,140.0,90.0,2408.0,19.5,72.0,usa,chevrolet,Coupe,0,0,1,1,0,0,0,0,0,0,1,0
18,13.0,8.0,350.0,165.0,4274.0,12.0,72.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
19,13.0,8.0,307.0,130.0,4098.0,14.0,72.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
20,18.0,4.0,121.0,112.0,2933.0,14.5,72.0,europe,volvo,Sedan,1,0,0,0,0,0,0,0,0,1,0,1
21,21.0,4.0,120.0,87.0,2979.0,19.5,72.0,europe,peugeot,Sedan,1,0,0,0,0,1,0,0,0,0,1,0
22,21.0,4.0,120.0,87.0,2979.0,19.5,72.0,europe,peugeot,Sedan,1,0,0,0,0,1,0,0,0,0,1,0
23,23.0,4.0,120.0,97.0,2506.0,14.5,72.0,japan,toyouta,Sedan,1,1,0,0,0,0,0,1,0,0,1,0
24,27.0,4.0,97.0,88.0,2100.0,16.5,72.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,1,0
25,13.0,8.0,350.0,145.0,3988.0,13.0,73.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
26,13.0,8.0,400.0,150.0,4464.0,12.0,73.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
27,16.0,6.0,250.0,100.0,3278.0,18.0,73.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
28,26.0,4.0,97.0,46.0,1950.0,21.0,73.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,0
29,11.0,8.0,400.0,150.0,4997.0,14.0,73.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
30,20.0,4.0,97.0,88.0,2279.0,19.0,73.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,1,0
31,21.0,4.0,140.0,72.0,2401.0,19.5,73.0,usa,chevrolet,Coupe,0,0,1,1,0,0,0,0,0,0,0,0
32,15.0,8.0,100.0,145.0,4082.0,13.0,73.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
33,20.0,4.0,114.0,91.0,2582.0,14.0,73.0,europe,audi,Sedan,1,0,0,0,0,0,0,0,0,0,1,0
34,19.0,4.0,121.0,112.0,2868.0,15.5,73.0,europe,volvo,Sedan,1,0,0,0,0,0,0,0,0,1,0,1
35,24.0,4.0,121.0,110.0,2660.0,14.0,73.0,europe,saab,Sedan,1,0,0,0,0,0,1,0,0,0,0,1
36,21.0,4.0,120.0,87.0,2979.0,19.5,72.0,europe,peugeot,Sedan,1,0,0,0,0,1,0,0,0,0,1,0
37,20.0,6.0,156.0,122.0,2807.0,13.5,73.0,japan,toyota,Sedan,1,1,0,0,0,0,0,1,0,0,0,1
38,15.0,6.0,250.0,100.0,3336.0,17.0,74.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
39,32.0,4.0,71.0,65.0,1836.0,21.0,74.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,0,0
40,16.0,6.0,250.0,100.0,3781.0,17.0,74.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
41,29.0,4.0,98.0,83.0,2219.0,16.5,74.0,europe,audi,Coupe,0,0,0,0,0,0,0,0,0,0,1,0
42,26.0,4.0,79.0,67.0,1963.0,15.5,74.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,0
43,31.0,4.0,76.0,52.0,1649.0,16.5,74.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,0,0
44,18.0,6.0,250.0,105.0,3459.0,16.0,75.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
45,15.0,8.0,350.0,145.0,4440.0,14.0,75.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
46,16.0,6.0,250.0,105.0,3897.0,18.5,75.0,usa,chevroelt,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
47,20.0,8.0,262.0,110.0,3221.0,13.5,75.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
48,29.0,4.0,97.0,75.0,2171.0,16.0,75.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,0,0
49,24.0,4.0,134.0,96.0,2702.0,13.5,75.0,japan,toyota,Sedan,1,1,0,0,0,0,0,1,0,0,1,0
50,25.0,4.0,90.0,71.0,2223.0,16.5,75.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,0
51,29.0,4.0,90.0,70.0,1937.0,14.0,75.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,0
52,23.0,4.0,115.0,95.0,2694.0,15.0,75.0,europe,audi,Sedan,1,0,0,0,0,0,0,0,0,0,1,0
53,23.0,4.0,120.0,88.0,2957.0,17.0,75.0,europe,peugeot,Sedan,1,0,0,0,0,1,0,0,0,0,1,0
54,22.0,4.0,134.0,98.0,2945.0,14.5,75.0,europe,volvo,Sedan,1,0,0,0,0,0,0,0,0,1,1,0
55,25.0,4.0,121.0,115.0,2671.0,13.5,75.0,europe,saab,Sedan,1,0,0,0,0,0,1,0,0,0,0,1
56,17.5,8.0,305.0,140.0,4215.0,13.0,76.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
57,22.0,6.0,250.0,105.0,3353.0,14.5,76.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
58,29.0,4.0,85.0,52.0,2035.0,22.2,76.0,usa,chevrolet,Coupe,0,0,1,1,0,0,0,0,0,0,0,0
59,24.5,4.0,98.0,60.0,2164.0,22.1,76.0,usa,chevrolet,Coupe,0,0,1,1,0,0,0,0,0,0,0,0
60,29.5,4.0,97.0,71.0,1825.0,12.2,76.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,0
61,20.0,4.0,130.0,102.0,3150.0,15.7,76.0,europe,volvo,Sedan,1,0,0,0,0,0,0,0,0,1,0,1
62,19.0,4.0,120.0,88.0,3270.0,21.9,76.0,europe,peugeot,Sedan,1,0,0,0,0,1,0,0,0,0,1,0
63,19.0,6.0,156.0,108.0,2930.0,15.5,76.0,japan,toyota,Sedan,1,1,0,0,0,0,0,1,0,0,0,1
64,17.5,8.0,305.0,145.0,3880.0,12.5,77.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
65,17.5,6.0,250.0,110.0,3520.0,16.4,77.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
66,15.5,8.0,350.0,90.0,4165.0,11.4,77.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
67,29.0,4.0,97.0,78.0,1940.0,14.5,77.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,0
68,26.0,4.0,97.0,75.0,2265.0,18.2,77.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,0,0
69,30.5,4.0,98.0,63.0,2051.0,17.0,77.0,usa,chevrolet,Coupe,0,0,1,1,0,0,0,0,0,0,0,0
70,30.5,4.0,97.0,78.0,2190.0,14.1,77.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,0
71,43.1,4.0,90.0,48.0,1985.0,21.5,78.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,0
72,20.5,6.0,200.0,95.0,3155.0,18.2,78.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
73,19.2,8.0,305.0,145.0,3425.0,13.2,78.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
74,30.0,4.0,98.0,68.0,2155.0,16.5,78.0,usa,chevrolet,Coupe,0,0,1,1,0,0,0,0,0,0,0,0
75,27.5,4.0,134.0,95.0,2560.0,14.2,78.0,japan,toyota,Sedan,1,1,0,0,0,0,0,1,0,0,1,0
76,21.1,4.0,134.0,95.0,2515.0,14.8,78.0,japan,toyota,Sedan,1,1,0,0,0,0,0,1,0,0,1,0
77,20.3,5.0,131.0,103.0,2830.0,15.9,78.0,europe,audi,Sedan,1,0,0,0,0,0,0,0,0,0,0,1
78,17.0,6.0,163.0,125.0,3140.0,13.6,78.0,europe,volvo,Sedan,1,0,0,0,0,0,0,0,0,1,0,1
79,21.6,4.0,121.0,115.0,2795.0,15.7,78.0,europe,saab,Sedan,1,0,0,0,0,0,1,0,0,0,0,1
80,16.2,6.0,163.0,133.0,3410.0,15.8,78.0,europe,peugeot,Sedan,1,0,0,0,0,1,0,0,0,0,0,1
81,31.5,4.0,89.0,71.0,1990.0,14.9,78.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,0
82,17.0,8.0,305.0,130.0,3840.0,15.4,79.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
83,19.2,8.0,267.0,125.0,3605.0,15.0,79.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
84,27.2,4.0,141.0,71.0,3190.0,15.8,79.0,europe,peugeot,Sedan,1,0,0,0,0,1,0,0,0,0,0,0
85,28.8,6.0,173.0,115.0,2595.0,11.3,79.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
86,38.1,4.0,89.0,60.0,1968.0,18.8,80.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,0,0
87,32.1,4.0,98.0,70.0,2120.0,15.5,80.0,usa,chevrolet,Coupe,0,0,1,1,0,0,0,0,0,0,0,0
88,28.0,4.0,151.0,90.0,2678.0,16.5,80.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
89,34.3,4.0,97.0,78.0,2188.0,15.8,80.0,europe,audi,Coupe,0,0,0,0,0,0,0,0,0,0,0,0
90,29.8,4.0,134.0,90.0,2711.0,15.5,80.0,japan,toyota,Sedan,1,1,0,0,0,0,0,1,0,0,1,0
91,32.2,4.0,108.0,75.0,2265.0,15.2,80.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,0,0
92,36.4,5.0,-30.0,67.0,2950.0,19.9,80.0,europe,audi,Sedan,1,0,0,0,0,0,0,0,0,0,0,0
93,29.8,4.0,89.0,62.0,1845.0,15.3,80.0,europe,vokswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,0
94,23.5,6.0,173.0,110.0,2725.0,12.6,81.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
95,39.1,4.0,79.0,58.0,1755.0,16.9,81.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,0,0
96,37.7,4.0,89.0,62.0,2050.0,17.3,81.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,0,0
97,32.4,4.0,108.0,75.0,2350.0,16.8,81.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,0,0
98,28.1,4.0,141.0,80.0,3230.0,20.4,81.0,europe,peugeot,Sedan,1,0,0,0,0,1,0,0,0,0,1,0
99,30.7,6.0,145.0,76.0,3160.0,19.6,81.0,europe,volvo,Sedan,1,0,0,0,0,0,0,0,0,1,0,0
100,25.4,6.0,168.0,116.0,2900.0,12.6,81.0,japan,toyota,Sedan,1,1,0,0,0,0,0,1,0,0,0,1
101,28.0,4.0,112.0,88.0,2605.0,19.6,82.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
102,27.0,4.0,112.0,88.0,2640.0,18.6,82.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
103,34.0,4.0,112.0,88.0,2395.0,18.0,82.0,usa,chevrolet,Coupe,0,0,1,1,0,0,0,0,0,0,1,0
104,36.0,4.0,105.0,74.0,1980.0,15.3,82.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,0
105,36.0,4.0,120.0,88.0,2160.0,14.5,82.0,japan,nissan,Coupe,0,1,0,0,1,0,0,0,0,0,1,0
106,34.0,4.0,108.0,70.0,2245.0,16.9,82.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,0,0
107,32.0,4.0,144.0,96.0,2665.0,13.9,82.0,japan,toyota,Sedan,1,1,0,0,0,0,0,1,0,0,1,0
108,27.0,4.0,151.0,90.0,2950.0,17.3,82.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
109,21.0,6.0,200.0,90.0,2875.0,17.0,74.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
110,19.0,6.0,232.0,100.0,2901.0,16.0,74.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
111,15.0,6.0,250.0,100.0,3336.0,17.0,74.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
112,31.0,4.0,79.0,67.0,1950.0,19.0,74.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,0,0
113,26.0,4.0,122.0,80.0,2451.0,16.5,74.0,usa,volkswagen,Coupe,0,0,1,0,0,0,0,0,1,0,1,0
114,32.0,4.0,71.0,65.0,1836.0,21.0,74.0,japan,peugeot,Coupe,0,1,0,0,0,1,0,0,0,0,0,0
115,25.0,4.0,140.0,75.0,2542.0,17.0,74.0,usa,audi,Sedan,1,0,1,0,0,0,0,0,0,0,0,0
116,16.0,6.0,250.0,100.0,3781.0,17.0,74.0,usa,saab,Sedan,1,0,1,0,0,0,1,0,0,0,1,0
117,16.0,6.0,258.0,110.0,3632.0,18.0,74.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
118,18.0,6.0,225.0,105.0,3613.0,16.5,74.0,usa,toyota,Sedan,1,0,1,0,0,0,0,1,0,0,0,1
119,16.0,8.0,302.0,140.0,4141.0,14.0,74.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
120,13.0,8.0,350.0,150.0,4699.0,14.5,74.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
121,14.0,8.0,318.0,150.0,4457.0,13.5,74.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
122,14.0,8.0,302.0,140.0,4638.0,16.0,74.0,usa,peugeot,Sedan,1,0,1,0,0,1,0,0,0,0,0,1
123,29.0,4.0,98.0,83.0,2219.0,16.5,74.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,1,0
124,26.0,4.0,79.0,67.0,1963.0,15.5,74.0,europe,toyota,Coupe,0,0,0,0,0,0,0,1,0,0,0,0
125,26.0,4.0,97.0,78.0,2300.0,14.5,74.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,0
126,31.0,4.0,76.0,52.0,1649.0,16.5,74.0,japan,chevrolet,Coupe,0,1,0,1,0,0,0,0,0,0,0,0
127,32.0,4.0,83.0,61.0,2003.0,19.0,74.0,japan,chevrolet,Coupe,0,1,0,1,0,0,0,0,0,0,0,0
128,28.0,4.0,90.0,75.0,2125.0,14.5,74.0,usa,chevrolet,Coupe,0,0,1,1,0,0,0,0,0,0,0,0
129,24.0,4.0,90.0,75.0,2108.0,15.5,74.0,europe,volvo,Coupe,0,0,0,0,0,0,0,0,0,1,0,0
130,26.0,4.0,116.0,75.0,2246.0,14.0,74.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,0
131,24.0,4.0,120.0,97.0,2489.0,15.0,74.0,japan,peugeot,Coupe,0,1,0,0,0,1,0,0,0,0,1,0
132,26.0,4.0,108.0,93.0,2391.0,15.5,74.0,japan,peugeot,Coupe,0,1,0,0,0,1,0,0,0,0,1,0
133,31.0,4.0,79.0,67.0,2000.0,16.0,74.0,europe,toyouta,Coupe,0,0,0,0,0,0,0,1,0,0,0,0
134,19.0,6.0,225.0,95.0,3264.0,16.0,75.0,usa,toyota,Sedan,1,0,1,0,0,0,0,1,0,0,1,0
135,18.0,6.0,250.0,105.0,3459.0,16.0,75.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
136,15.0,6.0,250.0,72.0,3432.0,21.0,75.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,0
137,15.0,6.0,250.0,72.0,3158.0,19.5,75.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,0
138,16.0,8.0,400.0,90.0,4668.0,11.5,75.0,usa,volkswagen,Sedan,1,0,1,0,0,0,0,0,1,0,0,1
139,15.0,8.0,350.0,145.0,4440.0,14.0,75.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
140,16.0,8.0,318.0,150.0,4498.0,14.5,75.0,usa,toyota,Sedan,1,0,1,0,0,0,0,1,0,0,0,1
141,14.0,8.0,351.0,148.0,4657.0,13.5,75.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
142,17.0,6.0,231.0,110.0,3907.0,21.0,75.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
143,16.0,6.0,250.0,105.0,3897.0,18.5,75.0,usa,audi,Sedan,1,0,1,0,0,0,0,0,0,0,0,1
144,15.0,6.0,258.0,110.0,3730.0,19.0,75.0,usa,volvo,Sedan,1,0,1,0,0,0,0,0,0,1,0,1
145,18.0,6.0,225.0,95.0,3785.0,19.0,75.0,usa,saab,Sedan,1,0,1,0,0,0,1,0,0,0,1,0
146,21.0,6.0,231.0,110.0,3039.0,15.0,75.0,usa,peugeot,Sedan,1,0,1,0,0,1,0,0,0,0,0,1
147,20.0,8.0,262.0,110.0,3221.0,13.5,75.0,usa,toyota,Sedan,1,0,1,0,0,0,0,1,0,0,0,1
148,13.0,8.0,302.0,129.0,3169.0,12.0,75.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
149,29.0,4.0,97.0,75.0,2171.0,16.0,75.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,0,0
150,20.0,6.0,232.0,100.0,2914.0,16.0,75.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
151,23.0,4.0,140.0,78.0,2592.0,18.5,75.0,usa,audi,Sedan,1,0,1,0,0,0,0,0,0,0,0,0
152,24.0,4.0,134.0,96.0,2702.0,13.5,75.0,japan,volkswagen,Sedan,1,1,0,0,0,0,0,0,1,0,1,0
153,25.0,4.0,90.0,71.0,2223.0,16.5,75.0,europe,toyota,Coupe,0,0,0,0,0,0,0,1,0,0,0,0
154,24.0,4.0,119.0,97.0,2545.0,17.0,75.0,japan,chevrolet,Sedan,1,1,0,1,0,0,0,0,0,0,1,0
155,18.0,6.0,171.0,97.0,2984.0,14.5,75.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
156,29.0,4.0,90.0,70.0,1937.0,14.0,75.0,europe,chevroelt,Coupe,0,0,0,1,0,0,0,0,0,0,0,0
157,19.0,6.0,232.0,90.0,3211.0,17.0,75.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
158,23.0,4.0,115.0,95.0,2694.0,15.0,75.0,europe,toyota,Sedan,1,0,0,0,0,0,0,1,0,0,1,0
159,23.0,4.0,120.0,88.0,2957.0,17.0,75.0,europe,toyota,Sedan,1,0,0,0,0,0,0,1,0,0,1,0
160,22.0,4.0,121.0,98.0,2945.0,14.5,75.0,europe,volkswagen,Sedan,1,0,0,0,0,0,0,0,1,0,1,0
161,25.0,4.0,121.0,115.0,2671.0,13.5,75.0,europe,volkswagen,Sedan,1,0,0,0,0,0,0,0,1,0,0,1
162,33.0,4.0,91.0,53.0,1795.0,17.5,75.0,japan,audi,Coupe,0,1,0,0,0,0,0,0,0,0,0,0
163,28.0,4.0,107.0,86.0,2464.0,15.5,76.0,europe,peugeot,Coupe,0,0,0,0,0,1,0,0,0,0,1,0
164,25.0,4.0,116.0,81.0,2220.0,16.9,76.0,europe,volvo,Coupe,0,0,0,0,0,0,0,0,0,1,1,0
165,25.0,4.0,140.0,92.0,2572.0,14.9,76.0,usa,saab,Sedan,1,0,1,0,0,0,1,0,0,0,1,0
166,26.0,4.0,98.0,79.0,2255.0,17.7,76.0,usa,chevrolet,Coupe,0,0,1,1,0,0,0,0,0,0,1,0
167,27.0,4.0,101.0,83.0,2202.0,15.3,76.0,europe,chevrolet,Coupe,0,0,0,1,0,0,0,0,0,0,1,0
168,17.5,8.0,305.0,140.0,4215.0,13.0,76.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
169,16.0,8.0,318.0,150.0,4190.0,13.0,76.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,0,1
170,15.5,8.0,304.0,120.0,3962.0,13.9,76.0,usa,volkswagen,Sedan,1,0,1,0,0,0,0,0,1,0,0,1
171,22.0,6.0,225.0,100.0,3233.0,15.4,76.0,usa,volvo,Sedan,1,0,1,0,0,0,0,0,0,1,1,0
172,22.0,6.0,250.0,105.0,3353.0,14.5,76.0,usa,peugeot,Sedan,1,0,1,0,0,1,0,0,0,0,0,1
173,24.0,6.0,200.0,81.0,3012.0,17.6,76.0,usa,toyota,Sedan,1,0,1,0,0,0,0,1,0,0,1,0
174,22.5,6.0,232.0,90.0,3085.0,17.6,76.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
175,29.0,4.0,85.0,52.0,2035.0,22.2,76.0,usa,chevrolet,Coupe,0,0,1,1,0,0,0,0,0,0,0,0
176,24.5,4.0,98.0,60.0,2164.0,22.1,76.0,usa,chevrolet,Coupe,0,0,1,1,0,0,0,0,0,0,0,0
177,29.0,4.0,90.0,70.0,1937.0,14.2,76.0,europe,volkswagen,Coupe,0,0,0,0,0,0,0,0,1,0,0,0
178,33.0,4.0,91.0,53.0,1795.0,17.4,76.0,japan,toyota,Coupe,0,1,0,0,0,0,0,1,0,0,0,0
179,20.0,6.0,225.0,100.0,3651.0,17.7,76.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
180,18.0,6.0,250.0,78.0,3574.0,21.0,76.0,usa,volkswagen,Sedan,1,0,1,0,0,0,0,0,1,0,0,0
181,18.5,6.0,250.0,110.0,3645.0,16.2,76.0,usa,volkswagen,Sedan,1,0,1,0,0,0,0,0,1,0,0,1
182,17.5,6.0,258.0,95.0,3193.0,17.8,76.0,usa,chevrolet,Sedan,1,0,1,1,0,0,0,0,0,0,1,0
183,29.5,4.0,97.0,71.0,1825.0,12.2,76.0,europe,chevrolet,Coupe,0,0,0,1,0,0,0,0,0,0,0,0
